pair_id,sar_frame,optical_frame,split,sar_motion_heading_deg,speed_px_per_frame,speed_m_per_frame_grid,fit_residual_px,fit_residual_m_grid,trajectory_curvature_deg,support_frame_count,heading_confidence,body_axis_source,calibration_min_speed_px_per_frame,calibration_max_residual_px,calibration_max_curvature_deg,optical_visual_review_role,method_frozen_from
WGV35A_PAIR_0003,315,151,calibration,4.415781,6.034914,0.181047,2.747752,0.082433,0,5,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0006,317,152,calibration,0.838679,6.318055,0.189542,3.138462,0.094154,12.951065,6,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0007,319,153,calibration,2.172565,6.126931,0.183808,3.158538,0.094756,25.490782,7,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0010,321,154,calibration,2.172565,6.126931,0.183808,3.158538,0.094756,21.581413,7,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0012,323,155,calibration,0.921703,6.276623,0.188299,3.166957,0.095009,12.12853,8,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0014,325,156,calibration,0.338618,6.564818,0.196945,3.01123,0.090337,51.228529,9,MEDIUM,UNRESOLVED,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0016,327,157,calibration,-0.455336,6.580243,0.197407,3.479371,0.104381,43.621179,10,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0021,331,159,calibration,-4.653463,5.878747,0.176362,23.787164,0.713615,26.228429,12,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0023,332,159,calibration,-1.817414,6.060365,0.181811,24.14639,0.724392,64.848202,12,MEDIUM,UNRESOLVED,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0025,333,160,calibration,-1.020177,6.232187,0.186966,23.286051,0.698582,76.209056,13,LOW,UNRESOLVED,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0027,334,160,calibration,-0.633869,6.604657,0.19814,23.274025,0.698221,45.30258,13,MEDIUM,UNRESOLVED,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0030,335,161,calibration,-0.22766,6.76109,0.202833,22.481853,0.674456,143.453966,14,LOW,UNRESOLVED,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0033,336,161,calibration,1.921247,7.050271,0.211508,22.419239,0.672577,179.370787,14,LOW,UNRESOLVED,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0034,336,161,calibration,1.921247,7.050271,0.211508,22.419239,0.672577,179.370787,14,LOW,UNRESOLVED,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0035,337,162,calibration,1.724908,7.02794,0.210838,21.66106,0.649832,23.681747,15,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0038,338,162,calibration,1.550794,7.06289,0.211887,20.977202,0.629316,31.810598,16,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0041,339,163,calibration,1.45147,7.074884,0.212247,20.351742,0.610552,9.22043,17,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0044,340,163,calibration,2.345694,7.205689,0.216171,20.239989,0.6072,74.551522,17,LOW,UNRESOLVED,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0048,341,164,calibration,3.798628,7.398834,0.221965,19.941461,0.598244,56.910369,17,MEDIUM,UNRESOLVED,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0051,342,164,calibration,3.901428,7.651299,0.229539,19.709312,0.591279,7.454288,17,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0053,343,165,calibration,4.628683,7.698419,0.230953,19.572699,0.587181,4.606494,17,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0056,344,165,calibration,5.331051,7.992339,0.23977,18.957316,0.568719,13.794801,17,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0060,345,166,calibration,0.875059,6.378268,0.191348,2.668725,0.080062,14.013671,17,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0063,346,166,calibration,1.157978,6.395617,0.191869,2.69924,0.080977,2.39081,17,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0065,347,167,calibration,0.828961,6.438326,0.19315,2.640176,0.079205,32.502063,17,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0068,348,167,calibration,0.992332,6.43951,0.193185,2.612922,0.078388,28.460836,17,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0073,349,168,calibration,1.272411,6.557823,0.196735,2.635692,0.079071,22.66004,17,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0076,350,168,calibration,1.422754,6.585634,0.197569,2.690245,0.080707,169.942572,17,LOW,UNRESOLVED,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0079,351,168,calibration,1.575819,6.530048,0.195901,2.672633,0.080179,126.586268,17,LOW,UNRESOLVED,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0082,352,169,calibration,1.172808,6.584545,0.197536,2.712177,0.081365,49.715243,17,MEDIUM,UNRESOLVED,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0085,353,169,calibration,0.820302,6.70188,0.201056,2.775341,0.08326,26.467726,17,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0087,354,170,calibration,0.331072,6.633217,0.198997,2.793546,0.083806,31.421869,17,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0090,355,170,calibration,-0.698836,6.802109,0.204063,3.144801,0.094344,30.138678,17,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
WGV35A_PAIR_0094,356,171,calibration,-1.300931,6.925682,0.20777,3.065296,0.091959,13.560192,17,HIGH,SAR_MOTION_HEADING_PROXY,3.063465,28.498403,45,straight_or_turning_plausibility_only,calibration_sar_le_360
