region_id,pair_id,sar_frame,family,variant,comparison_group,area_ratio_to_gt,offset_axis,offset_value,offset_unit,scale_ratio,rotation_relative_to_gt_deg,region_area_px,region_area_m2,region_area_p0_convention_m2,total_energy,mean_energy,median_energy,energy_std,peak_energy,energy_quantile_90,energy_quantile_95,energy_quantile_99,high_energy_threshold,high_energy_pixel_count,high_energy_pixel_fraction,response_occupancy_ratio,component_count,component_count_per_m2,component_count_per_p0_convention_m2,peak_count,peak_count_per_m2,peak_count_per_p0_convention_m2,energy_centroid_x,energy_centroid_y,energy_centroid_range_px,energy_centroid_azimuth_px,energy_centroid_range_m,energy_centroid_azimuth_m,energy_centroid_range_p0_convention_m,energy_centroid_azimuth_p0_convention_m,principal_axis_deg,principal_axis_minus_gt_storage_axis_deg,principal_axis_minus_local_range_axis_deg,range_support_width_px,azimuth_support_width_px,range_energy90_width_px,azimuth_energy90_width_px,range_second_moment_width_px,azimuth_second_moment_width_px,range_support_width_m,azimuth_support_width_m,range_energy90_width_m,azimuth_energy90_width_m,range_second_moment_width_m,azimuth_second_moment_width_m,range_support_width_p0_convention_m,azimuth_support_width_p0_convention_m,range_energy90_width_p0_convention_m,azimuth_energy90_width_p0_convention_m,near_far_energy_ratio,front_rear_energy_ratio,inside_gt_pixel_fraction,inside_gt_energy_fraction,inside_ring_energy_ratio,boundary_contact_ratio,mask_contact_ratio,visible_fraction,metric_extent_reliable,observation_status,crop_bbox,mask_definition,gt_file_opened_for_region_generation,final_detection_label,body_axis_source,heading_confidence,sar_motion_heading_deg,body_long_energy90_width_px,body_short_energy90_width_px,body_long_energy90_width_m,body_short_energy90_width_m,body_long_second_moment_width_m,body_short_second_moment_width_m,energy_centroid_body_long_m,energy_centroid_body_short_m,body_positive_negative_energy_ratio,body_short_positive_negative_energy_ratio,principal_axis_minus_body_axis_deg,response_linearity,response_compactness,raw_image_grid_extent_available,psf_corrected_extent_ready,local_background_normalized_energy
E0_R1_REG_000315_0001,WGV35A_PAIR_0003,315,GT_ORIGINAL,axis_aligned_gt_original,vehicle_reference,1,,0,,1,-4.415781,10295,9.2655,9.2655,418304,40.631763,40,7.750875,112,50,53,66,51,846,0.082176,0.082176,146,15.75738,15.75738,17,1.834763,1.834763,790.793002,941.155024,-0.402338,-0.486573,-0.01207,-0.014597,-0.01207,-0.014597,177.431418,177.431418,-49.617496,145.895885,141.687299,87.521635,105.396311,121.456229,137.541069,4.376877,4.250619,2.625649,3.161889,,,4.376877,4.250619,2.625649,3.161889,1.007718,1.012509,0.979116,0.980521,50.338243,0,0,1,raw_image_grid_current_config_only,fully_observed,"716,903,865,978",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,125.333548,56.834686,3.760006,1.705041,5.143903,2.121707,-0.001007,0.018914,1.003986,1.064129,174.716458,2.406226,0.154142,true,false,0.976226
E0_R1_REG_000315_0002,WGV35A_PAIR_0003,315,BODY_ALIGNED_REFERENCE,body_axis_reference,vehicle_reference,1.088095,,0,,1,0,11050,9.945,9.945,446668,40.422443,40,7.547377,112,48,52,64,51,833,0.075385,0.075385,153,15.384615,15.384615,20,2.011061,2.011061,791.611141,940.980511,-0.832064,0.23116,-0.024962,0.006935,-0.024962,0.006935,-178.637283,-178.637283,-45.686197,148.192816,145.751473,89.66688,103.378683,126.027606,129.046806,4.445784,4.372544,2.690006,3.101361,,,4.445784,4.372544,2.690006,3.101361,1.033878,1.037756,0.870136,0.874383,6.960719,0,0,1,raw_image_grid_current_config_only,fully_observed,"707,897,875,984",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,128.682411,57.316077,3.860472,1.719482,5.150496,2.198223,0.023062,0.011805,1.029977,1.048945,179.817627,2.297189,0.187511,true,false,0.971196
E0_R1_REG_000315_0003,WGV35A_PAIR_0003,315,BODY_SCALE,body_support_scale_0.75,body_scale_response,0.612054,,0,,0.75,0,6228,5.6052,5.6052,248027,39.824501,40,6.667211,75,48,51,58,51,320,0.051381,0.051381,92,16.41333,16.41333,9,1.605652,1.605652,791.496305,940.811214,-0.629903,0.262462,-0.018897,0.007874,-0.018897,0.007874,-158.882196,-158.882196,-25.93111,111.598457,96.461398,85.504007,65.544345,107.772152,71.144744,3.347954,2.893842,2.56512,1.96633,,,3.347954,2.893842,2.56512,1.96633,1.025355,1.052116,1,1,,0,0,1,raw_image_grid_current_config_only,fully_observed,"727,908,855,974",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,108.534113,47.403326,3.256023,1.4221,3.909612,1.976371,0.019236,0.007006,1.038991,1.032525,-168.603895,2.154296,0.123229,true,false,0.95683
E0_R1_REG_000315_0004,WGV35A_PAIR_0003,315,BODY_SCALE,body_support_scale_1.25,body_scale_response,1.700149,,0,,1.25,0,17337,15.6033,15.6033,694242,40.043953,40,7.088,112,48,51,61,51,1069,0.06166,0.06166,240,15.381362,15.381362,21,1.345869,1.345869,790.877185,940.995382,-0.342851,-0.316181,-0.010286,-0.009485,-0.010286,-0.009485,-178.795374,-178.795374,-45.844288,199.827959,190.423617,113.31029,113.271849,147.651814,151.852212,5.994839,5.712709,3.399309,3.398155,,,5.994839,5.712709,3.399309,3.398155,1.015082,1.013755,0.581415,0.590797,1.443774,0,0,1,raw_image_grid_current_config_only,fully_observed,"686,887,896,994",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,161.268707,72.686883,4.838061,2.180606,6.126812,2.671413,0.001143,0.013945,1.007791,1.045799,178.755924,2.26479,0.159101,true,false,0.962103
E0_R1_REG_000315_0005,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,local_range_-0.90m,metric_translation_surface,1.088095,local_range,-0.9,metre_current_image_grid,1,0,11091,9.9819,9.9819,450637,40.630871,40,7.654947,112,50,53,65,51,927,0.083581,0.083581,165,16.529919,16.529919,22,2.203989,2.203989,810.772675,962.065636,-29.321185,-0.11068,-0.879636,-0.00332,-0.879636,-0.00332,174.654112,174.654112,-52.394802,134.184915,142.698537,80.199854,108.829673,113.225123,141.944735,4.025547,4.280956,2.405996,3.26489,,,4.025547,4.280956,2.405996,3.26489,2.986633,1.689567,0.583085,0.597987,1.487481,0,0,1,raw_image_grid_current_config_only,fully_observed,"727,919,896,1006",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,131.604283,49.682049,3.948128,1.490461,5.175092,1.705872,0.644904,0.598221,1.750839,3.85841,171.305981,3.310892,0.181391,true,false,0.976204
E0_R1_REG_000315_0006,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,local_range_-0.45m,metric_translation_surface,1.088095,local_range,-0.45,metre_current_image_grid,1,0,11050,9.945,9.945,450553,40.774029,40,7.675846,112,50,53,65,51,953,0.086244,0.086244,174,17.496229,17.496229,21,2.111614,2.111614,800.926193,951.689783,-15.017594,-0.247838,-0.450528,-0.007435,-0.450528,-0.007435,177.236359,177.236359,-49.812555,149.505002,143.430473,86.534466,108.47574,121.973208,140.457307,4.48515,4.302914,2.596034,3.254272,,,4.48515,4.302914,2.596034,3.254272,1.683349,1.309995,0.766968,0.772775,3.40092,0,0,1,raw_image_grid_current_config_only,fully_observed,"717,908,885,995",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,130.84989,55.079375,3.925497,1.652381,5.281498,1.922987,0.32642,0.310613,1.32678,1.9061,174.176825,2.778639,0.170109,true,false,0.979644
E0_R1_REG_000315_0007,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,local_range_+0.00m,metric_translation_surface,1.088095,local_range,0,metre_current_image_grid,1,0,11050,9.945,9.945,446668,40.422443,40,7.547377,112,48,52,64,51,833,0.075385,0.075385,153,15.384615,15.384615,20,2.011061,2.011061,791.611141,940.980511,-0.832064,0.23116,-0.024962,0.006935,-0.024962,0.006935,-178.637283,-178.637283,-45.686197,148.192816,145.751473,89.66688,103.378683,126.027606,129.046806,4.445784,4.372544,2.690006,3.101361,,,4.445784,4.372544,2.690006,3.101361,1.033878,1.037756,0.870136,0.874383,6.960719,0,0,1,raw_image_grid_current_config_only,fully_observed,"707,897,875,984",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,128.682411,57.316077,3.860472,1.719482,5.150496,2.198223,0.023062,0.011805,1.029977,1.048945,179.817627,2.297189,0.187511,true,false,0.971196
E0_R1_REG_000315_0008,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,local_range_+0.45m,metric_translation_surface,1.088095,local_range,0.45,metre_current_image_grid,1,0,11091,9.9819,9.9819,438984,39.5802,39,6.943046,112,47,50,60,51,495,0.044631,0.044631,132,13.223935,13.223935,7,0.701269,0.701269,781.399785,929.661168,14.410717,0.469808,0.432322,0.014094,0.432322,0.014094,-160.124984,-160.124984,-27.173898,153.795492,150.446458,122.575068,77.587605,156.69074,95.923937,4.613865,4.513394,3.677252,2.327628,,,4.613865,4.513394,3.677252,2.327628,0.607517,0.806942,0.7516,0.757312,3.120523,0,0,1,raw_image_grid_current_config_only,fully_observed,"696,886,865,973",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,143.195351,62.44745,4.295861,1.873424,5.618573,2.507189,-0.308515,-0.303181,0.78256,0.558588,-169.810981,2.428594,0.142247,true,false,0.950961
E0_R1_REG_000315_0009,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,local_range_+0.90m,metric_translation_surface,1.088095,local_range,0.9,metre_current_image_grid,1,0,11091,9.9819,9.9819,430739,38.836803,39,5.796527,58,46,48,52,51,232,0.020918,0.020918,123,12.322303,12.322303,2,0.200363,0.200363,769.902386,917.938977,30.824632,0.041645,0.924739,0.001249,0.924739,0.001249,-169.262718,-169.262718,-36.311633,164.268908,136.363926,126.841489,104.312867,159.372469,127.601841,4.928067,4.090918,3.805245,3.129386,,,4.928067,4.090918,3.805245,3.129386,0.31248,0.591757,0.568659,0.56908,1.320617,0,0,1,raw_image_grid_current_config_only,fully_observed,"686,875,855,962",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,145.27418,63.117079,4.358225,1.893512,5.530626,2.389179,-0.679489,-0.627246,0.560355,0.247568,-177.833639,2.320583,0.142323,true,false,0.9331
E0_R1_REG_000315_0010,WGV35A_PAIR_0003,315,METRIC_TRANSLATION,local_azimuth_-0.90m,metric_translation_surface,1.088095,local_azimuth,-0.9,metre_current_image_grid,1,0,11042,9.9378,9.9378,443473,40.16238,40,7.015172,78,48,52,60,51,755,0.068375,0.068375,162,16.301395,16.301395,20,2.012518,2.012518,769.370575,960.798802,-0.18364,-29.551166,-0.005509,-0.886535,-0.005509,-0.886535,-179.155942,-179.155942,-46.204856,145.845323,147.140713,101.221317,92.601896,121.524163,126.672195,4.37536,4.414221,3.036639,2.778057,,,4.37536,4.414221,3.036639,2.778057,1.007219,0.580124,0.573628,0.5862,1.416628,0,0,1,raw_image_grid_current_config_only,fully_observed,"685,918,853,1004",zero_value_proxy_only,true,,SAR_MOTION_HEADING_PROXY,HIGH,4.415781,135.519302,51.957608,4.065579,1.558728,5.149753,1.724857,-0.596398,0.65596,0.603596,4.536423,178.010741,2.961033,0.182354,true,false,0.964948
