sar_frame,offset_axis,best_offset_m,best_offset_direction,best_value_local_bg_norm,gt_center_value_local_bg_norm,gt_center_local_rank,near_gt_peak_or_plateau,translation_decay_center_minus_far_median,offset_magnitude_m,interpretation
315,body_long,0.45,positive,0.97332,0.971196,3,true,0.007896,0.45,controlled metric translation surface; not a selector
315,body_short,0.45,positive,0.976917,0.971196,3,true,0.018362,0.45,controlled metric translation surface; not a selector
315,local_azimuth,-0.45,negative,0.975717,0.971196,2,true,0.020429,0.45,controlled metric translation surface; not a selector
315,local_range,-0.45,negative,0.979644,0.971196,3,true,0.016544,0.45,controlled metric translation surface; not a selector
317,body_long,0.45,positive,0.989121,0.985253,3,true,0.010475,0.45,controlled metric translation surface; not a selector
317,body_short,0.45,positive,0.994914,0.985253,3,true,0.018666,0.45,controlled metric translation surface; not a selector
317,local_azimuth,0,centered,0.985253,0.985253,1,true,0.026019,0,controlled metric translation surface; not a selector
317,local_range,-0.9,negative,0.99627,0.985253,3,true,0.019857,0.9,controlled metric translation surface; not a selector
319,body_long,0.45,positive,1.016344,1.014229,2,true,0.013813,0.45,controlled metric translation surface; not a selector
319,body_short,0.45,positive,1.023777,1.014229,3,true,0.024466,0.45,controlled metric translation surface; not a selector
319,local_azimuth,-0.45,negative,1.015813,1.014229,2,true,0.030056,0.45,controlled metric translation surface; not a selector
319,local_range,-0.45,negative,1.02445,1.014229,3,true,0.025734,0.45,controlled metric translation surface; not a selector
321,body_long,0.45,positive,1.025364,1.023947,2,true,0.01683,0.45,controlled metric translation surface; not a selector
321,body_short,0,centered,1.023947,1.023947,1,true,0.032768,0,controlled metric translation surface; not a selector
321,local_azimuth,0,centered,1.023947,1.023947,1,true,0.033928,0,controlled metric translation surface; not a selector
321,local_range,-0.45,negative,1.024463,1.023947,2,true,0.033997,0.45,controlled metric translation surface; not a selector
323,body_long,0.45,positive,1.02725,1.024214,2,true,0.016826,0.45,controlled metric translation surface; not a selector
323,body_short,0.45,positive,1.027976,1.024214,3,true,0.033667,0.45,controlled metric translation surface; not a selector
323,local_azimuth,0,centered,1.024214,1.024214,1,true,0.037255,0,controlled metric translation surface; not a selector
323,local_range,-0.45,negative,1.03043,1.024214,3,true,0.033667,0.45,controlled metric translation surface; not a selector
325,body_long,0.45,positive,1.025227,1.021528,2,true,0.006022,0.45,controlled metric translation surface; not a selector
325,body_short,0.9,positive,1.037043,1.021528,3,true,0.00322,0.9,controlled metric translation surface; not a selector
325,local_azimuth,0.9,positive,1.037043,1.021528,3,true,0.00322,0.9,controlled metric translation surface; not a selector
325,local_range,0.45,positive,1.025227,1.021528,2,true,0.006022,0.45,controlled metric translation surface; not a selector
327,body_long,0.45,positive,1.046912,1.042276,3,true,0.016835,0.45,controlled metric translation surface; not a selector
327,body_short,0.45,positive,1.045296,1.042276,3,true,0.040069,0.45,controlled metric translation surface; not a selector
327,local_azimuth,0,centered,1.042276,1.042276,1,true,0.044196,0,controlled metric translation surface; not a selector
327,local_range,-0.9,negative,1.049678,1.042276,3,true,0.038485,0.9,controlled metric translation surface; not a selector
331,body_long,0,centered,1.049163,1.049163,1,true,0.018282,0,controlled metric translation surface; not a selector
331,body_short,0.45,positive,1.054953,1.049163,3,true,0.039102,0.45,controlled metric translation surface; not a selector
331,local_azimuth,0,centered,1.049163,1.049163,1,true,0.04322,0,controlled metric translation surface; not a selector
331,local_range,-0.45,negative,1.056233,1.049163,3,true,0.03959,0.45,controlled metric translation surface; not a selector
