control_variant,feature_name,paired_frame_count,vehicle_median,control_median,median_paired_difference,median_paired_ratio,fraction_vehicle_higher,paired_effect_size,temporal_sign_consistency,interpretation
fixed_known_non_vehicle_same_area,mean_energy,71,51.400589,44.445492,3.370636,1.076322,0.957746,0.807607,0.957746,within_frame_paired_vehicle_vs_control
fixed_known_non_vehicle_same_area,high_energy_pixel_fraction,71,0.188013,0.054958,0.108275,3.354006,0.971831,2.276755,0.971831,within_frame_paired_vehicle_vs_control
fixed_known_non_vehicle_same_area,response_occupancy_ratio,71,0.188013,0.054958,0.108275,3.354006,0.971831,2.276755,0.971831,within_frame_paired_vehicle_vs_control
fixed_known_non_vehicle_same_area,inside_ring_energy_ratio,71,1.260765,0,1.260765,0,0.760563,0.268612,0.760563,within_frame_paired_vehicle_vs_control
fixed_known_non_vehicle_same_area,local_background_normalized_energy,71,1.09107,0.995448,0.07806,1.076322,0.957746,1.831142,0.957746,within_frame_paired_vehicle_vs_control
fixed_known_non_vehicle_same_area,body_long_energy90_width_m,71,3.279361,4.160682,-0.597922,0.85752,0.140845,-1.021311,0.859155,within_frame_paired_vehicle_vs_control
fixed_known_non_vehicle_same_area,body_short_energy90_width_m,71,1.058627,1.822583,-0.45196,0.587206,0.28169,-1.172921,0.71831,within_frame_paired_vehicle_vs_control
fixed_known_non_vehicle_same_area,response_compactness,71,0.305487,0.153408,0.14854,1.995713,0.887324,1.534141,0.887324,within_frame_paired_vehicle_vs_control
fixed_known_non_vehicle_same_area,response_linearity,71,3.636852,2.286435,1.645641,1.708739,0.633803,0.962663,0.633803,within_frame_paired_vehicle_vs_control
fixed_linear_structure_background_same_area,mean_energy,71,51.400589,46.916206,4.416698,1.085616,0.915493,0.625389,0.915493,within_frame_paired_vehicle_vs_control
fixed_linear_structure_background_same_area,high_energy_pixel_fraction,71,0.188013,0.076763,0.122808,2.399976,0.929577,1.680688,0.929577,within_frame_paired_vehicle_vs_control
fixed_linear_structure_background_same_area,response_occupancy_ratio,71,0.188013,0.076763,0.122808,2.399976,0.929577,1.680688,0.929577,within_frame_paired_vehicle_vs_control
