parameter_group,parameter_name,parameter_value,source_phase,source_files,sha_scope,notes
time_alignment_parameters,optical_fps,24,audit-inputs,reports\oty2\samples\oty2_object_sar_temporal_windows_sample.csv,runtime_safe_temporal_source,"P0 frame-ratio hypothesis, not exact timestamp truth."
time_alignment_parameters,sar_fps,50,audit-inputs,reports\oty2\samples\oty2_object_sar_temporal_windows_sample.csv,runtime_safe_temporal_source,
time_alignment_parameters,frozen_time_offset_sar_frames,0,calibrate,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_optical_sar_trend_fit_20260712.csv,frozen_parameter,Not selected on holdout.
motion_residual_distribution,x_intercept,-1267.792426,calibrate,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_motion_factor_fit_20260712.csv,frozen_parameter,
motion_residual_distribution,x_slope,6.521801,calibrate,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_motion_factor_fit_20260712.csv,frozen_parameter,
motion_residual_distribution,y_intercept,929.877321,calibrate,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_motion_factor_fit_20260712.csv,frozen_parameter,
motion_residual_distribution,y_slope,0.035881,calibrate,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_motion_factor_fit_20260712.csv,frozen_parameter,
motion_residual_distribution,same_motion_tolerance_px,24.279137,calibrate,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_motion_factor_fit_20260712.csv,frozen_parameter,
motion_residual_distribution,reappearance_spatial_tolerance_px,34.61651,calibrate,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_motion_factor_fit_20260712.csv,frozen_parameter,
background_stability_parameters,static_position_variance_threshold_px2,57.536534,calibrate,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_background_stability_fit_20260712.csv,frozen_parameter,
visibility_parameters,allowed_short_missing_gap_frames,4,calibrate,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_visibility_transition_fit_20260712.csv,frozen_parameter,
scale_range_parameters,constant_width_px,162.995568,calibrate,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_scale_range_fit_20260712.csv,frozen_parameter,
scale_range_parameters,constant_height_px,74.395297,calibrate,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_scale_range_fit_20260712.csv,frozen_parameter,
scale_range_parameters,width_range_theta_coefficients,234.599774;-0.19516;-0.558657,calibrate,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_scale_range_fit_20260712.csv,frozen_parameter,intercept;radial_px;theta_deg
scale_range_parameters,height_range_theta_coefficients,90.126994;-0.029908;0.095292,calibrate,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_scale_range_fit_20260712.csv,frozen_parameter,intercept;radial_px;theta_deg
optical_sar_trend_parameters,optical_x_sar_x_sign_agreement_calibration,0.805556,calibrate,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_optical_sar_trend_fit_20260712.csv,frozen_parameter,
physical_factor_parameters,coordinate_grid,"2308x1334;fan_center=1154.0,1330.6;px_to_m=0.03",audit-inputs,configs/scene_config.yaml;existing WGV3.6A R2.1 coordinate convention,coordinate_audit,Meter values are only factor-fitting aids; final task remains SAR image-domain.
