artifact_key,path,sha256,freeze_phase,gt_allowed_at_creation,notes
report,reports\oty2\oty2_wgv3_6b_p0_gm017_physical_factor_discovery_20260712.md,9636cc4ca2ac7134efd9601c1c8738d8843d040889177696ece2e288e88cc928,supporting_audit,phase_specific,
input_provenance,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_input_provenance_audit_20260712.csv,f88d0e1900e3a070a8c3915d02426833eebd82434bb01ddce7b7a0c0c8e518a5,supporting_audit,phase_specific,
frame_alignment,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_frame_alignment_audit_20260712.csv,ce801cbc3f48a9fba6ed940b3493dfe2fc3c386ba0af7025f9e8db0b83ac2c3d,supporting_audit,phase_specific,
split_manifest,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_split_manifest_20260712.csv,8d01ec416e90ebab430157754d53429f9e0c69cbb7696ce5705e1cbc9d8b5fd4,supporting_audit,phase_specific,
control_points,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_calibration_control_points_20260712.csv,fd12e6ded147decb165446e1fd085ef46ee96e8510eb85ec8419aab7a2bdf67f,supporting_audit,phase_specific,
components,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_response_component_observations_20260712.csv,1f91d5fd6db1699429ed6c8d1ba719eb51039b0a7e7c4aadfe3b8b29bbeafc1d,supporting_audit,phase_specific,
motion_fit,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_motion_factor_fit_20260712.csv,9181664352ab8c1d671085ab81496f458b920f6c4e6960517996ccd938ffe3da,verify-replay,phase_specific,
background_fit,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_background_stability_fit_20260712.csv,aedcb132650c152d4ff2dd6edc873220289b6aef60ea5ad67251ae14bf3d58aa,verify-replay,phase_specific,
visibility_fit,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_visibility_transition_fit_20260712.csv,9cb618775b5f3f5e5bfd578ec2048577fd42279e4cce3a3665f842e839d638e4,verify-replay,phase_specific,
scale_fit,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_scale_range_fit_20260712.csv,9499d601b371f1879c2024cf2d80f0db84c39d6e1522864d27aec614e1a69f08,verify-replay,phase_specific,
trend_fit,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_optical_sar_trend_fit_20260712.csv,4e9fa59f6f41c534bf73e3ff9f391d6ab987b748a0978c1775e4c50a5c6d7490,verify-replay,phase_specific,
frozen_params,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_frozen_factor_parameters_20260712.csv,d29e5be1e20f0a443ca68ba7eb03fd2a7faf7f359cb689d99b0ff4a8ec3de363,verify-replay,phase_specific,Do not modify frozen params or holdout predictions after evaluation.
holdout_predictions,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_holdout_factor_predictions_20260712.csv,c0186ffe0428177d809d7214e8f42b6786c8b68b134294865d74149fb773764d,verify-replay,false,Do not modify frozen params or holdout predictions after evaluation.
holdout_eval,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_holdout_evaluation_20260712.csv,520ead1b3bba2425a45de9f746d9fe93447a3068780276ebef5f0cc26cea9a7e,verify-replay,true_after_prediction_freeze,
verdicts,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_factor_verdicts_20260712.csv,fd3d897c523850747339c2b1a81eaef1bb9e463f4d5ab8b1495d4e6d0257951a,verify-replay,true_after_prediction_freeze,
counterexamples,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_counterexamples_20260712.csv,d04f365250f3b4cbc8d69a008c4656ec1c9764ec3ad76daf8e195079edec9b41,supporting_audit,phase_specific,
gate_integrity,reports\oty2\samples\oty2_wgv3_6b_p0_gm017_gate_integrity_20260712.csv,014bbf33d1c2cfc98706dc3c3548e3013496820c9f34f34ca7cc166ad86aa49b,supporting_audit,phase_specific,
