component_id,phase,segment_id,sar_frame,optical_frame,source_kind,extraction_roi,extraction_threshold,candidate_kind,bbox,centroid_x,centroid_y,pixel_area,integrated_energy,mean_energy,peak_energy,axis1_px,axis2_px,aspect_ratio,orientation_deg,compactness,local_x_px,local_y_px,radial_px,theta_deg,local_x_m,local_y_m,radial_m,vehicle_explainable,background_explainable,both_explainable,currently_unexplained,component_role,matched_control_point_id,distance_to_control_center_px,cap_triggered,provenance
COMP_CAL_000315_001,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"888,835,933,875",913.037434,854.60569,538,29492,54.817844,80,54.545052,24.866321,2.193531,138.455067,0.28526,-240.962566,475.99431,533.510583,-26.849898,-7.228877,14.279829,16.005317,false,true,false,false,large_response_candidate,,149.353525,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_002,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,vehicle_explainable,"838,953,865,974",851.591442,963.132614,231,13905,60.194805,112,26.708062,16.142952,1.654472,143.97269,0.375,-302.408558,367.467386,475.902527,-39.452791,-9.072257,11.024022,14.277076,true,false,false,false,unresolved_atom,CP_GM017_0010_0001,64.787419,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_003,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"897,1028,928,1041",912.581694,1035.079411,189,10729,56.767196,82,35.449871,10.685609,3.317534,-175.849054,0.421875,-241.418306,295.520589,381.595619,-39.246263,-7.242549,8.865618,11.447869,false,true,false,false,unresolved_atom,,154.117811,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_004,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,vehicle_explainable,"807,951,831,975",818.588637,963.727456,190,10402,54.747368,72,28.932496,18.199252,1.589763,-150.863398,0.304,-335.411363,366.872544,497.087765,-42.434957,-10.062341,11.006176,14.912633,true,false,false,false,body_core_candidate,CP_GM017_0010_0001,36.141583,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_005,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"886,835,908,847",898.466357,840.031654,112,6034,53.875,83,22.033902,12.581169,1.75134,164.317608,0.374582,-255.533643,490.568346,553.131761,-27.514694,-7.666009,14.71705,16.593953,false,true,false,false,unresolved_atom,,147.226413,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_006,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,vehicle_explainable,"730,962,745,977",737.110987,969.759435,95,5379,56.621053,74,15.227899,12.150384,1.253285,170.322087,0.371094,-416.889013,360.840565,551.364092,-49.121995,-12.50667,10.825217,16.540923,true,false,false,false,unresolved_atom,CP_GM017_0010_0001,61.196302,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_007,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,vehicle_explainable,"758,961,778,974",767.033807,967.906823,90,4851,53.9,74,20.796167,10.356388,2.008052,171.393009,0.306122,-386.966193,362.693177,530.367019,-46.854516,-11.608986,10.880795,15.911011,true,false,false,false,body_core_candidate,CP_GM017_0010_0001,36.303549,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_008,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,vehicle_explainable,"787,963,808,974",794.647878,968.068523,82,4524,55.170732,69,26.719668,8.356175,3.197596,172.054175,0.310606,-359.352122,362.531477,510.453738,-44.747657,-10.780564,10.875944,15.313612,true,false,false,false,body_core_candidate,CP_GM017_0010_0001,27.796762,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_009,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"872,835,889,856",879.053853,844.770891,82,4308,52.536585,61,30.253815,7.247816,4.174197,122.827671,0.207071,-274.946147,485.829109,558.234096,-29.506902,-8.248384,14.574873,16.747023,false,true,false,false,background_arc_candidate,,130.173444,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_010,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,vehicle_explainable,"747,964,758,978",752.793993,970.657672,76,4262,56.078947,78,14.452346,9.318075,1.551001,126.895885,0.422222,-401.206007,359.942328,539.003468,-48.103104,-12.03618,10.79827,16.170104,true,false,false,false,unresolved_atom,CP_GM017_0010_0001,48.558212,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_011,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"848,835,869,843",857.788585,839.249464,70,3732,53.314286,67,22.815132,7.443799,3.064985,174.281411,0.353535,-296.211415,491.350536,573.730382,-31.083738,-8.886342,14.740516,17.211911,false,true,false,false,unresolved_atom,,121.387694,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_012,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"759,846,772,860",764.395601,852.669265,69,3592,52.057971,59,18.560245,11.078031,1.67541,109.697024,0.328571,-389.604399,477.930735,616.611202,-39.186578,-11.688132,14.337922,18.498336,false,true,false,false,unresolved_atom,,91.763237,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_013,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"881,1023,890,1032",885.122746,1026.876486,46,2607,56.673913,76,11.195266,7.215076,1.551649,131.936024,0.46,-268.877254,303.723514,405.638941,-41.517496,-8.066318,9.111705,12.169168,false,true,false,false,unresolved_atom,,127.822244,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_014,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"925,884,933,894",929.235828,888.095238,41,2205,53.780488,62,13.275051,7.138173,1.859727,59.186643,0.414141,-224.764172,442.504762,496.315824,-26.927662,-6.742925,13.275143,14.889475,false,true,false,false,unresolved_atom,,147.962894,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_015,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,currently_unexplained,"862,949,872,956",867.064259,953.022045,40,2132,53.3,66,11.377519,7.534417,1.510073,-159.548511,0.454545,-286.935741,377.577955,474.233309,-37.232573,-8.608072,11.327339,14.226999,false,false,false,true,unresolved_atom,,77.206731,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_016,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,currently_unexplained,"831,974,843,986",837.470705,979.533764,39,2014,51.641026,59,18.309775,5.230108,3.500841,135.391779,0.230769,-316.529295,351.066236,472.692603,-42.038538,-9.495879,10.531987,14.180778,false,false,false,true,unresolved_atom,,60.766202,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_017,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"918,864,931,872",923.44534,867.091688,38,1985,52.236842,61,15.560666,7.841565,1.984383,149.30451,0.301587,-230.55466,463.508312,517.682728,-26.44631,-6.91664,13.905249,15.530482,false,true,false,false,unresolved_atom,,151.551753,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_018,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,vehicle_explainable,"855,937,861,947",858.593864,942.856474,35,1923,54.942857,66,12.207675,4.675835,2.610801,120.525066,0.454545,-295.406136,387.743526,487.452384,-37.302312,-8.862184,11.632306,14.623572,true,false,false,false,unresolved_atom,CP_GM017_0010_0001,67.758849,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_019,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,vehicle_explainable,"778,962,786,973",782.815494,968.011236,33,1691,51.242424,57,10.991206,7.977965,1.377695,100.240693,0.305556,-371.184506,362.588764,518.891655,-45.671157,-11.135535,10.877663,15.56675,true,false,false,false,unresolved_atom,CP_GM017_0010_0001,28.639639,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_020,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"930,1030,933,1039",932.062624,1034.214239,25,1517,60.68,87,10.482209,3.814442,2.748032,92.005124,0.625,-221.937376,296.385761,370.271142,-36.82633,-6.658121,8.891573,11.108134,false,true,false,false,unresolved_atom,,169.442819,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_021,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"909,889,915,896",911.931718,892.48605,25,1362,54.48,62,9.316268,5.349812,1.74142,128.644434,0.446429,-242.068282,438.11395,500.540594,-28.921685,-7.262048,13.143419,15.016218,false,true,false,false,unresolved_atom,,130.241522,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_022,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"922,875,928,879",924.642636,877.056589,24,1290,53.75,66,7.337666,5.201655,1.410641,152.765235,0.685714,-229.357364,453.543411,508.238552,-26.82577,-6.880721,13.606302,15.247157,false,true,false,false,unresolved_atom,,148.062579,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_023,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"888,1015,894,1022",890.708432,1018.775414,24,1269,52.875,58,9.654915,5.239206,1.84282,50.964487,0.428571,-263.291568,311.824586,408.113982,-40.176341,-7.898747,9.354738,12.243419,false,true,false,false,unresolved_atom,,126.843271,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_024,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"747,835,754,841",751.019417,838.683142,22,1133,51.5,58,9.652903,6.323104,1.526608,162.523852,0.392857,-402.980583,491.916858,635.905296,-39.324494,-12.089417,14.757506,19.077159,false,true,false,false,unresolved_atom,,109.366568,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_025,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"650,889,655,895",652.052632,892.390268,20,1007,50.35,55,7.05593,5.400113,1.306626,54.346935,0.47619,-501.947368,438.209732,666.317439,-48.878414,-15.058421,13.146292,19.989523,false,true,false,false,unresolved_atom,,146.931914,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_026,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"749,855,756,861",752.790628,858.034895,20,1003,50.15,57,8.694673,6.085576,1.428735,178.74843,0.357143,-401.209372,472.565105,619.908653,-40.33137,-12.036281,14.176953,18.59726,false,true,false,false,unresolved_atom,,90.860864,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_027,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,vehicle_explainable,"722,964,725,972",723.79112,968.396569,19,991,52.157895,57,10.702411,2.817435,3.798636,105.184327,0.527778,-430.20888,362.203431,562.37977,-49.90515,-12.906266,10.866103,16.871393,true,false,false,false,isolated_small_atom,CP_GM017_0010_0001,72.641919,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_028,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"916,876,923,882",918.965409,879.506289,18,954,53,59,10.431614,4.095876,2.546858,-138.655363,0.321429,-235.034591,451.093711,508.651939,-27.520989,-7.051038,13.532811,15.259558,false,true,false,false,isolated_small_atom,,141.883488,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_029,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"854,843,860,848",856.817419,844.81532,18,953,52.944444,62,8.398654,5.00965,1.676495,145.061962,0.428571,-297.182581,485.78468,569.477165,-31.456537,-8.915477,14.57354,17.084315,false,true,false,false,isolated_small_atom,,116.230422,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_030,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"888,849,895,854",891.919063,851.679446,18,939,52.166667,57,10.16958,3.764891,2.701162,151.970722,0.375,-262.080937,478.920554,545.940761,-28.688916,-7.862428,14.367617,16.378223,false,true,false,false,isolated_small_atom,,134.551647,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_031,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"876,857,881,862",878.355736,860.17613,17,863,50.764706,55,6.568308,4.817703,1.363369,-137.030761,0.472222,-275.644264,470.42387,545.232407,-30.368116,-8.269328,14.112716,16.356972,false,true,false,false,isolated_small_atom,,118.78326,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_032,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"887,870,891,873",888.98044,871.330073,15,818,54.533333,64,5.686606,3.698859,1.537395,145.031536,0.75,-265.01956,459.269927,530.249217,-29.986894,-7.950587,13.778098,15.907477,false,true,false,false,isolated_small_atom,,120.054858,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_033,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,background_explainable,"681,987,684,992",682.597594,989.632353,14,748,53.428571,60,7.067228,2.731461,2.587343,117.513703,0.583333,-471.402406,340.967647,581.789623,-54.121602,-14.142072,10.229029,17.453689,false,true,false,false,isolated_small_atom,,118.891278,true,GT-assisted calibration; GT center is not scattering center truth
COMP_CAL_000315_034,calibration_gt_assisted,GM017_DISC_CAL_0010,315,151,sar_gray_component_in_gt_expanded_roi,"648,835,933,1046",48,vehicle_explainable,"757,914,761,921",758.874126,917.324476,14,715,51.071429,54,9.040767,3.237948,2.792128,118.517702,0.35,-395.125874,413.275524,571.77016,-43.713852,-11.853776,12.398266,17.153105,true,false,false,false,isolated_small_atom,CP_GM017_0010_0001,39.528545,true,GT-assisted calibration; GT center is not scattering center truth
