fragment_id,scene_id,frame_start,frame_end,accepted_status,identity_safety_status,source_candidate_node_ids,frame_span_count,selected_unique_frame_count,coverage_ratio,frame_sequence,frame_gap_sequence,x_center_sequence,x_bin_sequence,class_sequence,dx_per_frame_sequence,max_dx_per_frame_px,median_dx_per_frame_px,max_normalized_dx_by_box_width,max_area_ratio,max_width_ratio,max_height_ratio,motion_sign_change_count,duplicate_source_detection_count,same_frame_distinct_source_detection_min,same_frame_distinct_source_detection_max,contrast_undercoverage_frames,sequence_guardrail_flags,v1_2_sequence_contrast_recommendation,sar_ready,note
GM_RM011_WG11F001,GM_RM011,0,4,accepted,identity_safe_local_observation,GM_RM011_Y26N001,5,5,1.000,0 1 2 3 4,1 1 1 1,248.6 254.2 261.3 264.0 281.4,left left left left mid,car car car car car,5.6 7.1 2.7 17.4,17.4,6.4,0.031,1.185,1.063,1.117,0,0,1,1,0 1 2 3 4,multicar_contrast_undercovered,review_multicar_contrast_before_merge,no / blocked,diagnostic precheck only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F002,GM_RM011,8,10,weak,identity_safe_local_candidate,GM_RM011_Y26N002,3,3,1.000,8 9 10,1 1,306.7 306.0 490.2,mid mid mid,car car car,0.8 184.2,184.2,92.5,0.310,1.066,1.007,1.073,0,0,1,1,9 10,hard_center_offset_jump;multicar_contrast_undercovered,block_vehicle_merge_until_target_family_split,no / blocked,diagnostic precheck only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F003,GM_RM011,13,16,accepted,identity_safe_local_observation,GM_RM011_Y26N003,4,4,1.000,13 14 15 16,1 1 1,471.3 506.0 515.2 519.0,mid mid mid mid,car car car car,34.8 9.2 3.7,34.8,9.2,0.058,1.078,1.041,1.046,0,0,1,1,13 14 15,multicar_contrast_undercovered,review_multicar_contrast_before_merge,no / blocked,diagnostic precheck only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F004,GM_RM011,18,25,accepted,identity_safe_local_observation,GM_RM011_Y26N004,8,8,1.000,18 19 20 21 22 23 24 25,1 1 1 1 1 1 1,520.9 522.7 524.0 542.6 560.9 585.6 604.6 620.4,mid mid mid right right right right right,car car car car car car car car,1.8 1.3 18.6 18.3 24.8 18.9 15.9,24.8,18.3,0.052,1.635,1.115,1.490,0,0,1,1,19 20 21 22 23 24 25,multicar_contrast_undercovered,review_multicar_contrast_before_merge,no / blocked,diagnostic precheck only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F005,GM_RM011,26,30,blocked,identity_switch_zone,GM_RM011_Y26N004,5,5,1.000,26 27 28 29 30,1 1 1 1,634.8 133.4 659.8 673.9 180.0,right left right right left,car car car car car,501.4 526.4 14.1 493.9,526.4,497.7,1.889,2.147,1.425,1.594,2,0,1,1,26 27 28 29 30,hard_center_offset_jump;hard_normalized_offset_jump;review_area_ratio_jump;back_and_forth_motion;spatial_bin_transition;multicar_contrast_undercovered;not_vehicle_identity_input,route_to_switch_or_context_event,no / blocked,diagnostic precheck only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F006,GM_RM011,31,35,review_required,identity_safe_local_candidate,GM_RM011_Y26N004,5,5,1.000,31 32 33 34 35,1 1 1 1,195.7 213.2 225.4 229.7 234.0,left left left left left,car car car car car,17.5 12.3 4.2 4.3,17.5,8.3,0.041,1.038,1.089,1.059,0,0,1,1,31 32 33 34 35,multicar_contrast_undercovered,review_multicar_contrast_before_merge,no / blocked,diagnostic precheck only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F007,GM_RM011,135,137,review_required,identity_safe_local_candidate,GM_RM011_Y26N005,3,3,1.000,135 136 137,1 1,153.8 161.5 171.1,left left left,car car car,7.7 9.7,9.7,8.7,0.028,1.076,1.061,1.015,0,0,1,1,135 136 137,multicar_contrast_undercovered,review_multicar_contrast_before_merge,no / blocked,diagnostic precheck only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F008,GM_RM011,138,150,blocked,occlusion_switch_risk,GM_RM011_Y26N005,13,13,1.000,138 139 140 141 142 143 144 145 146 147 148 149 150,1 1 1 1 1 1 1 1 1 1 1 1,539.4 569.4 589.9 610.5 627.5 640.5 652.7 663.7 675.1 686.8 701.0 715.3 731.0,right right right right right right right right right right right right right,car car car car car car car car car car car car car,30.0 20.5 20.6 17.0 13.0 12.2 11.0 11.4 11.7 14.3 14.2 15.8,30.0,14.3,0.094,1.373,1.229,1.173,0,0,1,1,138 139 140 141 142 143 144 145 146 147 148 149 150,multicar_contrast_undercovered;not_vehicle_identity_input,route_to_switch_or_context_event,no / blocked,diagnostic precheck only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F009,GM_RM011,151,161,review_required,identity_safe_local_candidate,GM_RM011_Y26N005,11,11,1.000,151 152 153 154 155 156 157 158 159 160 161,1 1 1 1 1 1 1 1 1 1,603.0 624.5 642.2 656.8 668.0 677.7 687.6 698.6 708.7 717.1 727.4,right right right right right right right right right right right,car car car car car car car car car car car,21.5 17.7 14.6 11.2 9.7 9.8 11.0 10.0 8.5 10.3,21.5,10.7,0.062,1.188,1.142,1.078,0,0,1,1,151 153 154 155 157 161,multicar_contrast_undercovered,review_multicar_contrast_before_merge,no / blocked,diagnostic precheck only;not final boxes;not GT;not revised annotation
GM_RM011_WG11F010,GM_RM011,164,166,review_required,thin_crop_review,GM_RM011_Y26N006,3,3,1.000,164 165 166,1 1,763.7 773.8 785.0,right right right,car car car,10.0 11.2,11.2,10.6,0.217,1.767,1.757,1.073,0,0,1,1,166,multicar_contrast_undercovered,review_multicar_contrast_before_merge,no / blocked,diagnostic precheck only;not final boxes;not GT;not revised annotation
