target_family_id,scene_id,source_fragment_id,frame_start,frame_end,frame_count,frame_sequence,candidate_node_ids,source_detection_ids,class_sequence,x_bin_sequence,center_x_start,center_x_end,center_x_min,center_x_max,area_min,area_max,max_dx_per_frame_px,max_area_ratio,same_frame_distinct_source_detection_min,same_frame_distinct_source_detection_max,duplicate_source_detection_count,contrast_undercoverage_frames,diagnostic_status,review_required,not_final_box_flag,not_SAR_ready_flag,note
GM_RM011_WGV12TF001,GM_RM011,GM_RM011_WG11F001,0,4,5,0 1 2 3 4,GM_RM011_Y26N001,GM_RM011_000000_001;GM_RM011_000001_001;GM_RM011_000002_001;GM_RM011_000003_001;GM_RM011_000004_001,car car car car car,left left left left mid,248.6,281.4,248.6,281.4,149280.9,219700.5,17.4,1.185,1,1,0,0 1 2 3 4,review_required_multicar_contrast_undercovered,yes,yes,yes,diagnostic target-family candidate only;not identity truth
GM_RM011_WGV12TF002,GM_RM011,GM_RM011_WG11F002,8,9,2,8 9,GM_RM011_Y26N002,GM_RM011_000008_001;GM_RM011_000009_001,car car,mid mid,306.7,306.0,306.0,306.7,171592.0,173177.8,0.8,1.009,1,1,0,9,review_required_multicar_contrast_undercovered,yes,yes,yes,diagnostic target-family candidate only;not identity truth
GM_RM011_WGV12TF003,GM_RM011,GM_RM011_WG11F002,10,10,1,10,GM_RM011_Y26N002,GM_RM011_000010_001,car,mid,490.2,490.2,490.2,490.2,184546.6,184546.6,0.0,1.000,1,1,0,10,review_required_multicar_contrast_undercovered,yes,yes,yes,diagnostic target-family candidate only;not identity truth
GM_RM011_WGV12TF004,GM_RM011,GM_RM011_WG11F003,13,16,4,13 14 15 16,GM_RM011_Y26N003,GM_RM011_000013_001;GM_RM011_000014_001;GM_RM011_000015_001;GM_RM011_000016_001,car car car car,mid mid mid mid,471.3,519.0,471.3,519.0,170171.5,207873.6,34.8,1.078,1,1,0,13 14 15,review_required_multicar_contrast_undercovered,yes,yes,yes,diagnostic target-family candidate only;not identity truth
GM_RM011_WGV12TF005,GM_RM011,GM_RM011_WG11F004,18,25,8,18 19 20 21 22 23 24 25,GM_RM011_Y26N004,GM_RM011_000018_001;GM_RM011_000019_001;GM_RM011_000020_001;GM_RM011_000021_001;GM_RM011_000022_001;GM_RM011_000023_001;GM_RM011_000024_002;GM_RM011_000025_001,car car car car car car car car,mid mid mid right right right right right,520.9,620.4,520.9,620.4,69853.7,220162.3,24.8,1.635,1,1,0,19 20 21 22 23 24 25,review_required_multicar_contrast_undercovered,yes,yes,yes,diagnostic target-family candidate only;not identity truth
GM_RM011_WGV12TF006,GM_RM011,GM_RM011_WG11F006,31,35,5,31 32 33 34 35,GM_RM011_Y26N004,GM_RM011_000031_001;GM_RM011_000032_001;GM_RM011_000033_001;GM_RM011_000034_001;GM_RM011_000035_001,car car car car car,left left left left left,195.7,234.0,195.7,234.0,134445.0,145656.0,17.5,1.038,1,1,0,31 32 33 34 35,review_required_multicar_contrast_undercovered,yes,yes,yes,diagnostic target-family candidate only;not identity truth
GM_RM011_WGV12TF007,GM_RM011,GM_RM011_WG11F007,135,137,3,135 136 137,GM_RM011_Y26N005,GM_RM011_000135_001;GM_RM011_000136_001;GM_RM011_000137_001,car car car,left left left,153.8,171.1,153.8,171.1,97711.0,110083.8,9.7,1.076,1,1,0,135 136 137,review_required_multicar_contrast_undercovered,yes,yes,yes,diagnostic target-family candidate only;not identity truth
GM_RM011_WGV12TF008,GM_RM011,GM_RM011_WG11F009,151,161,11,151 152 153 154 155 156 157 158 159 160 161,GM_RM011_Y26N005,GM_RM011_000151_001;GM_RM011_000152_001;GM_RM011_000153_001;GM_RM011_000154_001;GM_RM011_000155_001;GM_RM011_000156_001;GM_RM011_000157_001;GM_RM011_000158_001;GM_RM011_000159_001;GM_RM011_000160_001;GM_RM011_000161_001,car car car car car car car car car car car,right right right right right right right right right right right,603.0,727.4,603.0,727.4,42720.5,131011.0,21.5,1.188,1,1,0,151 153 154 155 157 161,review_required_multicar_contrast_undercovered,yes,yes,yes,diagnostic target-family candidate only;not identity truth
GM_RM011_WGV12TF009,GM_RM011,GM_RM011_WG11F010,164,166,3,164 165 166,GM_RM011_Y26N006,GM_RM011_000164_001;GM_RM011_000165_001;GM_RM011_000166_001,car car car,right right right,763.7,785.0,763.7,785.0,4195.2,9586.3,11.2,1.767,1,1,0,166,review_required_multicar_contrast_undercovered,yes,yes,yes,diagnostic target-family candidate only;not identity truth
GM_RM011_WGV12TF010,GM_RM011,GM_RM011_WG11F011,231,232,2,231 232,GM_RM011_Y26N007,GM_RM011_000231_001;GM_RM011_000232_001,car car,mid mid,373.4,322.8,322.8,373.4,195820.6,205079.3,50.6,1.047,1,1,0,231 232,review_required_multicar_contrast_undercovered,yes,yes,yes,diagnostic target-family candidate only;not identity truth
GM_RM011_WGV12TF011,GM_RM011,GM_RM011_WG11F011,233,233,1,233,GM_RM011_Y26N007,GM_RM011_000233_001,car,mid,519.2,519.2,519.2,519.2,188153.3,188153.3,0.0,1.000,1,1,0,233,review_required_multicar_contrast_undercovered,yes,yes,yes,diagnostic target-family candidate only;not identity truth
GM_RM011_WGV12TF012,GM_RM011,GM_RM011_WG11F012,236,239,4,236 237 238 239,GM_RM011_Y26N008,GM_RM011_000236_001;GM_RM011_000237_001;GM_RM011_000238_001;GM_RM011_000239_001,car car car car,mid right right right,525.9,606.1,525.9,606.1,118974.5,179619.0,34.6,1.182,1,1,3,237 238 239,review_required_multicar_contrast_undercovered,yes,yes,yes,diagnostic target-family candidate only;not identity truth
