sample_id,scene,target_identity,sample_type,panel_transfer_path,panel_candidate_overlay_path,panel_factor_breakdown_path,panel_temporal_strip_path,source_id,source_kind,candidate_count,fallback_used,missing_fields,missing_paths,optical_azimuth_ok,range_prior_contains_target,candidate_pool_contains_vehicle_like_box,top1_visually_on_vehicle,top5_contains_vehicle_like_box,top20_contains_vehicle_like_box,candidates_centered_on_wrong_prior,wedge_helpful,ray_helpful,signed_helpful,temporal_context_helpful,likely_root_cause,next_action,notes
v0_1_001,GM_RM019,gm_rm019_00006,top1_bad_top20_good,transfer_panels/v0_1_001_transfer_panel.svg,candidate_overlays/v0_1_001_candidate_overlay.svg,factor_breakdowns/v0_1_001_factor_breakdown.svg,temporal_strips/v0_1_001_temporal_strip.svg,synthesis_c1_4_frozen_ranked_candidates,frozen_ranked_candidate_table,24,False,rank_or_frozen_rank;signed_temporal_support;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_002,GM_RM019,frameadd_gm_rm019_000013_000027_01,top1_bad_top20_good,transfer_panels/v0_1_002_transfer_panel.svg,candidate_overlays/v0_1_002_candidate_overlay.svg,factor_breakdowns/v0_1_002_factor_breakdown.svg,temporal_strips/v0_1_002_temporal_strip.svg,synthesis_c1_4_frozen_ranked_candidates,frozen_ranked_candidate_table,21,False,rank_or_frozen_rank;signed_temporal_support;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_003,GM_RM019,gm_rm019_00171,top1_bad_top20_good,transfer_panels/v0_1_003_transfer_panel.svg,candidate_overlays/v0_1_003_candidate_overlay.svg,factor_breakdowns/v0_1_003_factor_breakdown.svg,temporal_strips/v0_1_003_temporal_strip.svg,synthesis_c1_4_frozen_ranked_candidates,frozen_ranked_candidate_table,23,False,rank_or_frozen_rank;signed_temporal_support;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_004,GM_RM019,gm_rm019_00057,top1_bad_top20_good,transfer_panels/v0_1_004_transfer_panel.svg,candidate_overlays/v0_1_004_candidate_overlay.svg,factor_breakdowns/v0_1_004_factor_breakdown.svg,temporal_strips/v0_1_004_temporal_strip.svg,synthesis_c1_4_frozen_ranked_candidates,frozen_ranked_candidate_table,24,False,rank_or_frozen_rank;signed_temporal_support;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_005,GM_RM019,gm_rm019_00129,candidate_pool_bad,transfer_panels/v0_1_005_transfer_panel.svg,candidate_overlays/v0_1_005_candidate_overlay.svg,factor_breakdowns/v0_1_005_factor_breakdown.svg,temporal_strips/v0_1_005_temporal_strip.svg,synthesis_c1_3_structural_candidate_bank,runtime_candidate_bank,25,False,rank_or_frozen_rank;signed_temporal_support;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_006,GM_RM019,gm_rm019_00001,candidate_pool_bad,transfer_panels/v0_1_006_transfer_panel.svg,candidate_overlays/v0_1_006_candidate_overlay.svg,factor_breakdowns/v0_1_006_factor_breakdown.svg,temporal_strips/v0_1_006_temporal_strip.svg,synthesis_c1_3_structural_candidate_bank,runtime_candidate_bank,25,False,rank_or_frozen_rank;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_007,GM_RM019,gm_rm019_00003,candidate_pool_bad,transfer_panels/v0_1_007_transfer_panel.svg,candidate_overlays/v0_1_007_candidate_overlay.svg,factor_breakdowns/v0_1_007_factor_breakdown.svg,temporal_strips/v0_1_007_temporal_strip.svg,synthesis_c1_3_structural_candidate_bank,runtime_candidate_bank,28,False,rank_or_frozen_rank;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_008,GM_RM019,gm_rm019_00026,top1_good,transfer_panels/v0_1_008_transfer_panel.svg,candidate_overlays/v0_1_008_candidate_overlay.svg,factor_breakdowns/v0_1_008_factor_breakdown.svg,temporal_strips/v0_1_008_temporal_strip.svg,synthesis_c1_4_frozen_ranked_candidates,frozen_ranked_candidate_table,23,False,rank_or_frozen_rank;signed_temporal_support;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_009,GM_RM019,gm_rm019_00181,top1_good,transfer_panels/v0_1_009_transfer_panel.svg,candidate_overlays/v0_1_009_candidate_overlay.svg,factor_breakdowns/v0_1_009_factor_breakdown.svg,temporal_strips/v0_1_009_temporal_strip.svg,synthesis_c1_4_frozen_ranked_candidates,frozen_ranked_candidate_table,23,False,rank_or_frozen_rank;signed_temporal_support;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_010,GM_RM019,gm_rm019_00173,factor_topk_best,transfer_panels/v0_1_010_transfer_panel.svg,candidate_overlays/v0_1_010_candidate_overlay.svg,factor_breakdowns/v0_1_010_factor_breakdown.svg,temporal_strips/v0_1_010_temporal_strip.svg,synthesis_c1_4_frozen_ranked_candidates,frozen_ranked_candidate_table,23,False,rank_or_frozen_rank;signed_temporal_support;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_011,GM_RM019,gm_rm019_00151,factor_topk_best,transfer_panels/v0_1_011_transfer_panel.svg,candidate_overlays/v0_1_011_candidate_overlay.svg,factor_breakdowns/v0_1_011_factor_breakdown.svg,temporal_strips/v0_1_011_temporal_strip.svg,synthesis_c1_4_frozen_ranked_candidates,frozen_ranked_candidate_table,21,False,rank_or_frozen_rank;signed_temporal_support;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_012,GM_RM019,gm_rm019_00129,wedge_best,transfer_panels/v0_1_012_transfer_panel.svg,candidate_overlays/v0_1_012_candidate_overlay.svg,factor_breakdowns/v0_1_012_factor_breakdown.svg,temporal_strips/v0_1_012_temporal_strip.svg,workspace_c1_2_extended_candidate_bank,runtime_candidate_bank,18,False,rank_or_frozen_rank;wedge_support;ray_support;signed_temporal_support;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_013,GM_RM019,gm_rm019_00195,wedge_best,transfer_panels/v0_1_013_transfer_panel.svg,candidate_overlays/v0_1_013_candidate_overlay.svg,factor_breakdowns/v0_1_013_factor_breakdown.svg,temporal_strips/v0_1_013_temporal_strip.svg,workspace_c1_2_extended_candidate_bank,runtime_candidate_bank,18,False,rank_or_frozen_rank;wedge_support;ray_support;signed_temporal_support;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_014,GM_RM019,gm_rm019_00006,ray_best,transfer_panels/v0_1_014_transfer_panel.svg,candidate_overlays/v0_1_014_candidate_overlay.svg,factor_breakdowns/v0_1_014_factor_breakdown.svg,temporal_strips/v0_1_014_temporal_strip.svg,workspace_c1_2_extended_candidate_bank,runtime_candidate_bank,18,False,rank_or_frozen_rank;wedge_support;ray_support;signed_temporal_support;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_015,GM_RM019,gm_rm019_00220,ray_best,transfer_panels/v0_1_015_transfer_panel.svg,candidate_overlays/v0_1_015_candidate_overlay.svg,factor_breakdowns/v0_1_015_factor_breakdown.svg,temporal_strips/v0_1_015_temporal_strip.svg,workspace_c1_2_extended_candidate_bank,runtime_candidate_bank,17,False,rank_or_frozen_rank;wedge_support;ray_support;signed_temporal_support;visible_risk;conflict_score,,,,,,,,,,,,,,,
v0_1_016,GM_RM019,gm_rm019_00194,signed_best,transfer_panels/v0_1_016_transfer_panel.svg,candidate_overlays/v0_1_016_candidate_overlay.svg,factor_breakdowns/v0_1_016_factor_breakdown.svg,temporal_strips/v0_1_016_temporal_strip.svg,workspace_c1_4_partial_factor_table,partial_factor_audit,18,False,rank_or_frozen_rank;ray_support,,,,,,,,,,,,,,,
v0_1_017,GM_RM019,gm_rm019_00216,signed_best,transfer_panels/v0_1_017_transfer_panel.svg,candidate_overlays/v0_1_017_candidate_overlay.svg,factor_breakdowns/v0_1_017_factor_breakdown.svg,temporal_strips/v0_1_017_temporal_strip.svg,workspace_c1_4_partial_factor_table,partial_factor_audit,17,False,rank_or_frozen_rank;ray_support,,,,,,,,,,,,,,,
v0_1_018,GM_RM019,saronly_gm_rm019_000000_000000_01,sar_only_blocked,transfer_panels/v0_1_018_transfer_panel.svg,candidate_overlays/v0_1_018_candidate_overlay.svg,factor_breakdowns/v0_1_018_factor_breakdown.svg,temporal_strips/v0_1_018_temporal_strip.svg,manual_sar_only_blocked,manual_probe,0,False,candidate_rows,optical_frame,,,,,,,,,,,,,,
